Название,№ ПУ,"Сборы, руб.",Тип,Возрастное ограничение
Как я стал русским,111026418,119607532.46,художественный,«16+» для детей старше 16 лет
Страшные истории для рассказа в темноте,121021219,117789747.38,художественный,«16+» для детей старше 16 лет
Дора и Затерянный город,121022719,116870342.06,художественный,«6+» для детей старше 6 лет
Щенячий патруль (8 выпусков),124001919 / 124002719 / 124004019 / 124005119 / 124006519 / 124008219 / 124008919 / 124010119,116137094.72,анимационный,«0+» для любой зрительской аудитории
Лев Яшин. Вратарь моей мечты,111018719,114090162.74,художественный,«6+» для детей старше 6 лет
Паразиты,121017919,108473817.14,художественный,«18+» запрещено для детей
Волки и овцы: Ход свиньей,114000219,108195236.2,анимационный,«6+» для детей старше 6 лет
Семь ужинов,111024018,106388226.57,художественный,«12+» для детей старше 12 лет
Ангелы Чарли,121033119,106125455.62,художественный,«16+» для детей старше 16 лет
Эбигейл,111014219,104763979.99,художественный,«6+» для детей старше 6 лет
Давай разведемся!,111009519,103098290.54,художественный,«12+» для детей старше 12 лет
Та еще парочка,121016019,98174012.32,художественный,«18+» запрещено для детей
Верность,111009119,97637352.29,художественный,«18+» запрещено для детей
Девушки бывают разные,111014719,96830245.58,художественный,«16+» для детей старше 16 лет
Начни сначала,121030918,91001263.44,художественный,«16+» для детей старше 16 лет
Дождливый день в Нью-Йорке,121028519,88901299.13,художественный,«16+» для детей старше 16 лет
Во все тяжкое,121032319,87446283.62,художественный,«18+» запрещено для детей
Семья по-быстрому,121031918,87382668.68,художественный,«16+» для детей старше 16 лет
Пиковая дама. Зазеркалье,111003619,86371124.57,художественный,«16+» для детей старше 16 лет
Ржев,111019219,86340133.01,художественный,«12+» для детей старше 12 лет
Фаворитка,121029218,84636096.26,художественный,«18+» запрещено для детей
Одесса,111009419,83991589.62,художественный,«18+» запрещено для детей
"Гори, гори ясно",121011519,81364262.36,художественный,«18+» запрещено для детей
Королевские каникулы,124006119,79605056.95,анимационный,«6+» для детей старше 6 лет
Рожденный стать королем,121001019,76709327.56,художественный,«6+» для детей старше 6 лет
Щегол,121026019,74778916.1,художественный,«18+» запрещено для детей
Рокетмен,121014319,72795292.56,художественный,«18+» запрещено для детей
Урфин Джюс возвращается,114004019,68549523.47,анимационный,«6+» для детей старше 6 лет
Робо,111017319,66504721.61,художественный,«6+» для детей старше 6 лет
Астерикс и тайное зелье,124005418,64396723.21,анимационный,«6+» для детей старше 6 лет
Сиротский Бруклин,121036119,64137344.99,художественный,«18+» запрещено для детей
Игры разумов,121010119,62039039.79,художественный,«16+» для детей старше 16 лет
Курск,121010919,60743504.4,художественный,«16+» для детей старше 16 лет
Ма,121015419,58778318.09,художественный,«18+» запрещено для детей
"Али, рули!",121018119,58351843.08,художественный,«18+» запрещено для детей
Море соблазна,121027718,57202293.85,художественный,«18+» запрещено для детей
Детские игры,121016619,56652916.63,художественный,«18+» запрещено для детей
Девятая,111007019,55876887.4,художественный,«16+» для детей старше 16 лет
Падение ангела,121024319,54901055.25,художественный,«16+» для детей старше 16 лет
Комната желаний,121025919,54392427.18,художественный,«16+» для детей старше 16 лет
Грех,111014419,54243202.71,художественный,«16+» для детей старше 16 лет
Солнцестояние,121019519,54010254.23,художественный,«18+» запрещено для детей
Рассвет,111000419,53449711.94,художественный,«16+» для детей старше 16 лет
Две королевы,121029618,52997308.63,художественный,«18+» запрещено для детей
Кадавр,121002019,52000551.2,художественный,«18+» запрещено для детей
Синяя бездна 2,121022819,51609872.85,художественный,«16+» для детей старше 16 лет
Рэмбо: Последняя кровь,121027419,49649069.06,художественный,«18+» запрещено для детей
BTS: Открой свою душу. Фильм,126002519,49588994.97,другой,«12+» для детей старше 12 лет
Yesterday (Вчера),121025419,46769961.08,художественный,«12+» для детей старше 12 лет
Братство,111006319,46350172.49,художественный,«16+» для детей старше 16 лет
Власть,121001319,45570116.58,художественный,«18+» запрещено для детей
Коридор бессмертия,111006619,44729932.68,художественный,«12+» для детей старше 12 лет
Жил-был Дэдпул,121029318,44475165.57,художественный,«16+» для детей старше 16 лет
Мертвые не умирают,121017819,42898693.12,художественный,«18+» запрещено для детей
Видок: Охотник на призраков,121020219,41616573.67,художественный,«18+» запрещено для детей
Хороший лжец,121033319,40822738.4,художественный,«18+» запрещено для детей
Омен: Перерождение,121002319,39555817.36,художественный,«18+» запрещено для детей
Дитя погоды,124008619,39487690.69,анимационный,«12+» для детей старше 12 лет
Снегоуборщик,121001119,38824198.52,художественный,«18+» запрещено для детей
Дорогой папа,111013419,38811307.87,художественный,«12+» для детей старше 12 лет
Мидуэй,121033419,38460928.47,художественный,«16+» для детей старше 16 лет
Стражи Арктики,124009319,38067198.96,анимационный,«6+» для детей старше 6 лет
Пушистый шпион,124002119,38045964.05,анимационный,«6+» для детей старше 6 лет
Пункт назначения: Смайл,121026419,37902230.42,художественный,«16+» для детей старше 16 лет
Астрал: Новое измерение,121031118,37445187.25,художественный,«16+» для детей старше 16 лет
Завод,111001319,36356076.06,художественный,«16+» для детей старше 16 лет
Аббатство Даунтон,121031019,35447031.9,художественный,«18+» запрещено для детей
Пляжный бездельник,121004719,34832812.41,художественный,«18+» запрещено для детей
Родители легкого поведения,121004319,34669435.82,художественный,«18+» запрещено для детей
Миа и белый лев,121028618,34272534.38,художественный,«6+» для детей старше 6 лет
Тёмное зеркало,121030718,33261829.55,художественный,«18+» запрещено для детей
В объятиях лжи,121004919,32893708.17,художественный,«18+» запрещено для детей
Битва,111013619,32721103.43,художественный,«6+» для детей старше 6 лет
Птичий дозор,124006619,32198090.69,анимационный,«6+» для детей старше 6 лет
Потерянное звено,124001719,32011655.55,анимационный,«6+» для детей старше 6 лет
Гости,111023818,31761131.34,художественный,«16+» для детей старше 16 лет
Ван Гог. На пороге вечности,121030518,31581067.27,художественный,«16+» для детей старше 16 лет
Война токов,121034219,30672799.21,художественный,«12+» для детей старше 12 лет
Гурвинек. Волшебная игра,114001418,30325879.15,анимационный,«6+» для детей старше 6 лет
Отель Мумбаи: Противостояние,121007019,30084581.97,художественный,«18+» запрещено для детей
Руслан и Людмила: Перезагрузка,124005519,29753721.74,анимационный,«6+» для детей старше 6 лет
Игра Ганнибала,121024519,29286455.56,художественный,«18+» запрещено для детей
Боль и слава,121014519,28535378.46,художественный,«18+» запрещено для детей
Сестренка,111012319,27853374.23,художественный,«6+» для детей старше 6 лет
Дылда,111008419,27525124.4,художественный,«16+» для детей старше 16 лет
Искусство обмана,121018919,27120188.51,художественный,«18+» запрещено для детей
Маугли дикой планеты,124003019,26931468.31,анимационный,«6+» для детей старше 6 лет
"Красивый, плохой, злой",121012019,26259140.07,художественный,«18+» запрещено для детей
Побег из джунглей,124007819,25475357.99,анимационный,«6+» для детей старше 6 лет
Обратный отсчет,121034019,25246662,художественный,«16+» для детей старше 16 лет
Норм и несокрушимые: Большое путешествие,124005019,24966272.15,анимационный,«6+» для детей старше 6 лет
Трудности выживания,111013019,24101208.37,художественный,«16+» для детей старше 16 лет
Последствия,121006119,23601594.31,художественный,«18+» запрещено для детей
BEEF: Русский хип-хоп,112000419,23420274.32,документальный,«16+» для детей старше 16 лет
