Название,№ ПУ,"Сборы, руб.",Тип,Возрастное ограничение
Предатель,121027319,2338788.5,художественный,«18+» запрещено для детей
Король Слон,124009819,2312351.5,анимационный,«6+» для детей старше 6 лет
Дитя тьмы,121010819,2276644.94,художественный,«18+» запрещено для детей
"Вудсток: Три дня, изменившие поколение",226010119,2267183,другой,«18+» запрещено для детей
Двойная жизнь,121013219,2265781.29,художественный,«16+» для детей старше 16 лет
Мысленный волк,111007419,2258384,художественный,«16+» для детей старше 16 лет
Суперсобаки,126003219,2255594,другой,«6+» для детей старше 6 лет
Между нами музыка,121015418,2249302.5,художественный,«18+» запрещено для детей
Романтики 303,121026018,2236562,художественный,«16+» для детей старше 16 лет
Эспен в поисках золотого замка,121033819,2226966.5,художественный,«6+» для детей старше 6 лет
Тим Талер или Проданный смех,121000519,2150333.22,художественный,«12+» для детей старше 12 лет
Пираньи Неаполя,121008219,2149592,художественный,«18+» запрещено для детей
Так сказал Чарли,121014219,2108793,художественный,«18+» запрещено для детей
Вернуть Бена,121000719,2094231.02,художественный,«18+» запрещено для детей
Робот 2.0,121020519,2093517,художественный,«12+» для детей старше 12 лет
Каннингем,126007419,2081733,другой,«16+» для детей старше 16 лет
Сделано в Италии,121031818,2061582.5,художественный,«16+» для детей старше 16 лет
Кунг-Фу воин,124001119,2013404.5,анимационный,«6+» для детей старше 6 лет
Исчезновение,121001419,2009266,художественный,«18+» запрещено для детей
Сорокин Трип,112004519,1973137,документальный,«16+» для детей старше 16 лет
Ленин. Неизбежность,111010619,1957979.5,художественный,«16+» для детей старше 16 лет
Элефант,111012719,1900650.94,художественный,«12+» для детей старше 12 лет
По половому признаку,121001719,1892689.5,художественный,«16+» для детей старше 16 лет
Тёмная сторона,121028019,1875740.5,художественный,«18+» запрещено для детей
Мы всегда жили в замке,121014819,1866460,художественный,«16+» для детей старше 16 лет
Месть Лиззи Борден,121031518,1861529.5,художественный,«18+» запрещено для детей
Студия 54,126004819,1857607,другой,«18+» запрещено для детей
В погоне за ветром,121032019,1850900,художественный,«12+» для детей старше 12 лет
Принцесса Эмми,124002619,1834079.5,анимационный,«6+» для детей старше 6 лет
Малыш Кид,121012519,1825288.96,художественный,«18+» запрещено для детей
SuperЗять,121006419,1801882,художественный,«16+» для детей старше 16 лет
Тень,121003719,1773235.5,художественный,«16+» для детей старше 16 лет
Парк развлечений,121005019,1770316.5,художественный,«16+» для детей старше 16 лет
"Маша и Медведь (Летние каникулы с Машей и Медведем; Делу время, а карнавал раз в год!; Из Англии с любовью!; Опять Новый год!)",124004619 / 214004919 / 124008419 / 114004519,1737512,анимационный,«0+» для любой зрительской аудитории
Ограбление по Фрейду,124002319,1721642.08,анимационный,«16+» для детей старше 16 лет
Свет моей жизни,121022019,1683790.5,художественный,«18+» запрещено для детей
Осада Ахульго,111026118,1677745,художественный,«12+» для детей старше 12 лет
Братья Медведи: Тайна трех миров,124007019,1666556.5,анимационный,«6+» для детей старше 6 лет
Двое,111005918,1662223,художественный,«16+» для детей старше 16 лет
Подкидыш,111010319,1626889,художественный,«6+» для детей старше 6 лет
Стажер,121028818,1602326,художественный,«16+» для детей старше 16 лет
В Кейптаунском порту…,111026018,1590168.02,художественный,«16+» для детей старше 16 лет
Фабрика грёз,121034419 / 121034319,1583335.5,художественный,«12+» для детей старше 12 лет
Руководство по сексу на втором свидании,121031219,1577907.9,художественный,«18+» запрещено для детей
Мой друг Робот,121019019,1564262,художественный,«6+» для детей старше 6 лет
Андрей Тарковский. Кино как молитва,213003219,1555375.5,научно-популярный,«12+» для детей старше 12 лет
Царь зверей,124009919,1550212,анимационный,«6+» для детей старше 6 лет
Музей Прадо: Коллекция чудес,126003819,1549242.52,другой,«16+» для детей старше 16 лет
"Та, которой не было",121027819,1547413.5,художественный,«16+» для детей старше 16 лет
Интервью с Богом,121028018,1545358.03,художественный,«16+» для детей старше 16 лет
Плюс один,121021919,1541769,художественный,«18+» запрещено для детей
Свадебный год,121031319,1535466,художественный,«18+» запрещено для детей
Большая поэзия,111008819,1535332.5,художественный,«18+» запрещено для детей
Русский бес,111005718,1530665.48,художественный,«18+» запрещено для детей
Разум и искусство,126002819,1524797.5,другой,«16+» для детей старше 16 лет
Леонардо. Вся история,126006419,1510714.08,другой,«12+» для детей старше 12 лет
Материнский инстинкт,121020719,1508877,художественный,«18+» запрещено для детей
Доктор Кто: Решение,,1493059.4,другой,«12+» для детей старше 12 лет
Сверхъестественное,121006219,1492792,художественный,«16+» для детей старше 16 лет
Коррупционер,121018819,1490149.5,художественный,«18+» запрещено для детей
Величайший кутюрье,126001719,1485359,другой,«16+» для детей старше 16 лет
Красивый бандит,121023119,1463723.97,художественный,«16+» для детей старше 16 лет
"Операция ""Колибри""",121027719,1450743,художественный,«16+» для детей старше 16 лет
Последняя любовь Казановы,121017619,1429137,художественный,«16+» для детей старше 16 лет
Бэст Сай-Фай (Best Sci-Fi),126003319,1423419.05,другой,«16+» для детей старше 16 лет
Баския: Взрыв реальности,126004118,1416635,другой,«16+» для детей старше 16 лет
Божественная любовь,121022319,1397680,художественный,«18+» запрещено для детей
Призрачный патруль,121024719,1392473.5,художественный,«16+» для детей старше 16 лет
Потерянный остров,111022118,1386930,художественный,«16+» для детей старше 16 лет
Аполлон-11,126001819,1385124,другой,«6+» для детей старше 6 лет
Весёлая ферма,124003119,1384241,анимационный,«6+» для детей старше 6 лет
Игрища престолов,121013419,1378306.01,художественный,«18+» запрещено для детей
Мантра: Путешествие со звуком,126004218,1362546.5,другой,«12+» для детей старше 12 лет
Отверженные,121035819,1342936.5,художественный,«18+» запрещено для детей
Беглецы,121021918,1342679,художественный,«16+» для детей старше 16 лет
"Извините, мы вас не застали",121030619,1315843,художественный,«16+» для детей старше 16 лет
Заметки Манджика. Я калмык,211053919,1293300,художественный,«16+» для детей старше 16 лет
Злой дух,121007819,1288427,художественный,«18+» запрещено для детей
Собаки не носят штанов,121035219,1281198,художественный,«18+» запрещено для детей
Мобильный воин Гандам: Нарратив,124005319,1280497.5,анимационный,«12+» для детей старше 12 лет
Это не навсегда,111008719,1279863,художественный,«12+» для детей старше 12 лет
Наше время,121031618,1269669.5,художественный,«18+» запрещено для детей
Короткий метр. Канны-2019,226010219,1263601,другой,«16+» для детей старше 16 лет
Короткие волны,111003819,1263461.52,художественный,«16+» для детей старше 16 лет
Точка возврата,121032018,1253807,художественный,«18+» запрещено для детей
Они никогда не станут старше,,1252862.5,другой,«18+» запрещено для детей
Спящая принцесса,124006719,1252718.5,анимационный,«6+» для детей старше 6 лет
Чайка,121002519,1252028.5,художественный,«12+» для детей старше 12 лет
Мадонна: Рождение легенды,126000319,1230644,другой,«16+» для детей старше 16 лет
Дух Баухауса,126004619,1228130,другой,«16+» для детей старше 16 лет
Мозг. Эволюция,212020719,1222127.5,документальный,«12+» для детей старше 12 лет
Смотри мою любовь,111018018,1215773.5,художественный,«12+» для детей старше 12 лет
Берлинский фейсконтрольщик,126004519,1170658,другой,«16+» для детей старше 16 лет
Пароль H0us3 / Пароль: Хаус,121023919,1170454.5,художественный,«16+» для детей старше 16 лет
Маняшино озеро,111005219,1156776,художественный,«12+» для детей старше 12 лет
Русское краткое. Выпуск 2-6,111024718 / 111004219 / 111011419 / 111015019 / 111021018,1156482,художественный,«16+» для детей старше 16 лет / «18+» запрещено для детей
Короли интриги,121027619,1154562.5,художественный,«16+» для детей старше 16 лет
Бизнесмены,121005919,1142156.5,художественный,«16+» для детей старше 16 лет
Фиш и Чип. Вредные друзья,124004819,1135592,анимационный,«6+» для детей старше 6 лет
Частная война,121003819,1086442.54,художественный,«18+» запрещено для детей
"Зубы, писать и в постель",121027418,1074815,художественный,«18+» запрещено для детей
Последние любовники,121000319,1057968,художественный,«18+» запрещено для детей
Крик тишины,111025918,1042023,художественный,«6+» для детей старше 6 лет
Капитан семи морей,124002819,1035312.29,анимационный,«6+» для детей старше 6 лет
Эрмитаж. Сила искусства,126007819,1032821.51,другой,«16+» для детей старше 16 лет
Сила девяти Богов,124000419,1022685.5,анимационный,«12+» для детей старше 12 лет
Дефолт,121022419,1015408.5,художественный,«18+» запрещено для детей
Годовщина Революции,212007419,1003669,документальный,«12+» для детей старше 12 лет
Кокоша - Маленький дракон: Приключения в джунглях,124006419,977447.5,анимационный,«6+» для детей старше 6 лет
GORILLAZ: Долой фальшивых идолов,,956793,другой,«18+» запрещено для детей
Приключения оленёнка,126005519,956554.5,другой,«6+» для детей старше 6 лет
Спасатели,124002219,947288,анимационный,«6+» для детей старше 6 лет
Венеция зовет,121013819,944890,художественный,«12+» для детей старше 12 лет
Армен и Я,111013719,943479,художественный,«12+» для детей старше 12 лет
Штурм,211045219,941830,художественный,«12+» для детей старше 12 лет
Угоняя лошадей,121016519,931941,художественный,«16+» для детей старше 16 лет
Дарак Ыры (Песнь древа),131000118,930183,художественный,«6+» для детей старше 6 лет
"Однажды в Америке, или Чисто русская сказка",111026218,922848,художественный,«12+» для детей старше 12 лет
Малыш Джо,121033719,912125.4,художественный,«16+» для детей старше 16 лет
Призраки Шэрон Тейт,121016419,911340,художественный,«18+» запрещено для детей
Кругосветное путешествие Элькано и Магеллана,124009119,908580.5,анимационный,«6+» для детей старше 6 лет
Бернини,126002319,906638,другой,«12+» для детей старше 12 лет
Песнь дьявола,121015619,891760.5,художественный,«18+» запрещено для детей
Тайна Карлоса Кастанеды,213000919,891539.5,научно-популярный,«16+» для детей старше 16 лет
"С любовью, Антоша",126004319,891517.5,другой,«18+» запрещено для детей
Капитал в XXI веке,126003619,888182,другой,«16+» для детей старше 16 лет
Здесь была Бритт-Мари,121004019,880463,художественный,«12+» для детей старше 12 лет
Капитан Немо,212006419,876064,документальный,«12+» для детей старше 12 лет
Атлантика,121034619,874498,художественный,«16+» для детей старше 16 лет
Улётные букашки,124006019,874071,анимационный,«6+» для детей старше 6 лет
Тайный мир Анны,124000919,866283,анимационный,«12+» для детей старше 12 лет
Выпьем за любовь,121036319,836561,художественный,«16+» для детей старше 16 лет
Озеро Диких гусей,121036619,820589,художественный,«18+» запрещено для детей
"Кинопоэзия: Серебряный век, Друзья, прекрасен наш союз!, Но кто мы и откуда, От войны до наших дней",111025418 / 111026718 / 111026618 / 111026518,807846.51,художественный,«12+» для детей старше 12 лет / «16+» для детей старше 16 лет
Боже мой!,121026819,805605,художественный,«18+» запрещено для детей
Новая жизнь Аманды,121011019,800069.5,художественный,«16+» для детей старше 16 лет
Первая Республика,111004919,788647,художественный,«12+» для детей старше 12 лет
Людно внутри,126002019,761290,другой,«16+» для детей старше 16 лет
Акулы,121024419,754257,художественный,«16+» для детей старше 16 лет
Быть Харви Вайнштейном,126002619,752334.5,другой,«16+» для детей старше 16 лет
Тинторетто: Бунтарь в Венеции,126000519,750963,другой,«16+» для детей старше 16 лет
"Программа международного фестиваля короткометражного кино ""Kinematic Shorts-2019""",121025319,749703,художественный,«18+» запрещено для детей
Ярд,213000317,749047.5,научно-популярный,«6+» для детей старше шести лет
Бой,121028119,740803,художественный,«16+» для детей старше 16 лет
Воскресенье,111010219,716681.5,художественный,«16+» для детей старше 16 лет
Малышка Зомби,121023019,701958.5,художественный,«18+» запрещено для детей
"Программа короткометражного кино ""Nordic Shorts - 2019""",126003818,678340,другой,«18+» запрещено для детей
"Программа Лондонского международного анимационного фестиваля ""LIAF-2019""",124001219,663160,анимационный,«16+» для детей старше 16 лет
Троица,111008019,636446.5,художественный,«18+» запрещено для детей
Простой карандаш,111007319,636264,художественный,«16+» для детей старше 16 лет
"Коко-ди, Коко-да",121024219,627891,художественный,«18+» запрещено для детей
Любить нельзя расстаться,121030618,623349,художественный,«16+» для детей старше 16 лет
Первая любовь,121031119,599348,художественный,«18+» запрещено для детей
Конец сезона,111011719,596072,художественный,«16+» для детей старше 16 лет
The Oscar. Shorts,224000419,593540,анимационный,«12+» для детей старше 12 лет
18+,221027019,582335,художественный,«18+» запрещено для детей
Молодой Пикассо,,564224,другой,«12+» для детей старше 12 лет
По совести,111013819,547720,художественный,«16+» для детей старше 16 лет
Зеленее травы,121030119,543036.5,художественный,«16+» для детей старше 16 лет
"Кто твоя бабушка, чувак?!",121033919,533483,художественный,«16+» для детей старше 16 лет
Кире,111014619,509707,художественный,«12+» для детей старше 12 лет
Бунюэль в лабиринте черепах,124007719,508898.5,анимационный,«12+» для детей старше 12 лет
Потерянные в воспоминаниях,111018019,497190,художественный,«12+» для детей старше 12 лет
На волне (режиссерская версия),113000419,494964,научно-популярный,«0+» для любой зрительской аудитории
Однажды в Трубчевске,111008519,476537,художественный,«16+» для детей старше 16 лет
Анатолий Крупнов. Он был…,212023519,468553.5,документальный,«18+» запрещено для детей
Супергерои,126000719,463862,другой,«12+» для детей старше 12 лет
Тренинг личностного роста,121017419,463485,художественный,«18+» запрещено для детей
Палладио. Власть архитектуры,126003419,451387,другой,«12+» для детей старше 12 лет
Гоген,126006619,443885.5,другой,«12+» для детей старше 12 лет
Сквозь черное стекло,111018418,438755.5,художественный,«18+» запрещено для детей
До Нового года осталось...,111018819,434992.5,художественный,«12+» для детей старше 12 лет
Фильмы с севера: Между ними,126005119,426247.5,другой,«16+» для детей старше 16 лет
Куда течёт море,111003419,421571.5,художественный,«12+» для детей старше 12 лет
Everybody In The Place: Рейв как забастовка,126005419,419324,другой,«16+» для детей старше 16 лет
Русская невеста,121017319,391618,художественный,«18+» запрещено для детей
Гоген: В поисках утраченного рая,126001019,380009,другой,«16+» для детей старше 16 лет
Варда глазами Аньес,126005619,379195,другой,«16+» для детей старше 16 лет
Встреча с Горбачевым,126007719,372702.5,другой,«16+» для детей старше 16 лет
Вечер с Беверли Лафф Линн,121028919,369016.5,художественный,«16+» для детей старше 16 лет
Небо измеряется милями,111021919,367224,художественный,«12+» для детей старше 12 лет
SHNIT SHORTS 2019. Игровое кино,121009519,356127,художественный,«16+» для детей старше 16 лет
Марианна и Леонард: Слова любви,126004919,353361,другой,«18+» запрещено для детей
Пространство музыки,213003018,344167,научно-популярный,«12+» для детей старше 12 лет
Вертинский. Одинокий странник,212007019,342509,документальный,«12+» для детей старше 12 лет
Иванов,211043119,334970,художественный,«16+» для детей старше 16 лет
Земля гангстеров,121012319,327351.5,художественный,«16+» для детей старше 16 лет
Пи Джей Харви: A Dog Called Money,126004719,312396,другой,«16+» для детей старше 16 лет
Любовь - это…,226002119,305464,другой,«12+» для детей старше 12 лет
На берегу мечты,111002719,303620,художественный,«12+» для детей старше 12 лет
Юра музыкант,112003319,298060,документальный,«16+» для детей старше 16 лет
Золотая молодежь,121012419,292140,художественный,«18+» запрещено для детей
Канова,126002919,284470,другой,«12+» для детей старше 12 лет
Игра с огнем,121029319,281077,художественный,«18+» запрещено для детей
Я вернусь,111011919,264971,художественный,«6+» для детей старше 6 лет
#Москва-Руаян,121012819,264015,художественный,«16+» для детей старше 16 лет
Чистая правда,,260252,другой,«16+» для детей старше 16 лет
Пассажир из Сан-Франциско,111008014,239976,художественный,«16+» для детей старше 16 лет
Странники терпенья,111015518,238858,художественный,«16+» для детей старше 16 лет
Корпоративные животные,121032419,220728,художественный,«18+» запрещено для детей
Акрам Хан: Родом из Карри Хауса,126007919,219569,другой,«12+» для детей старше 12 лет
20:20. Альманах,226019519,204653,другой,«12+» для детей старше 12 лет
Слон и Бабочка,121016719,187973.5,художественный,«6+» для детей старше 6 лет
Обворожительная планета,111012318,187760,художественный,«16+» для детей старше 16 лет
Исцеляющая,121026119,183350,художественный,«16+» для детей старше 16 лет
Анна Каренина. Интимный дневник,111013919,182882.5,художественный,«16+» для детей старше 16 лет
Мистер Олимпия,121021619,179239,художественный,«12+» для детей старше 12 лет
Зверь,121035919,175003.51,художественный,«18+» запрещено для детей
Сулейман Гора,111017718,169040.5,художественный,«16+» для детей старше 16 лет
Последний бросок,121032919,160317,художественный,«18+» запрещено для детей
За кулисами,111003719,155938,художественный,«16+» для детей старше 16 лет
Если Бил-стрит могла бы заговорить,,142361,другой,«18+» запрещено для детей
Грани будущего,221011819,138750,художественный,«12+» для детей старше 12 лет
Город глазами кота,126003019,137200,другой,«12+» для детей старше 12 лет
44 котёнка,124005919,136958,анимационный,«6+» для детей старше 6 лет
Бойцовая воля,111001919,136900,художественный,«12+» для детей старше 12 лет
Вертолёты,112006918,136355,документальный,«16+» для детей старше 16 лет
"То, что никто не видит",111016218,135211,художественный,«18+» запрещено для детей
Проклятие крови,121025819,135020,художественный,«18+» запрещено для детей
Игры разума. Альманах,221043918,134970,художественный,«18+» запрещено для детей
Шарнохой - жёлтый пёс,111021819,129500,художественный,«16+» для детей старше 16 лет
SHNIT SHORTS 2019. Анимационная программа,124002519,128650,анимационный,«16+» для детей старше 16 лет
Дар,111005818,128191.5,художественный,«12+» для детей старше 12 лет
Семь пьяниц,211039219,119708,художественный,«16+» для детей старше 16 лет
Люби меня,,117440,другой,«12+» для детей старше 12 лет
Агент 044: Операция Гегард,121013119,116550,художественный,«12+» для детей старше 12 лет
Холстон,126007019,116360,другой,«16+» для детей старше 16 лет
Школа взросления,212004219,109855,документальный,«12+» для детей старше 12 лет
Разве плохо искать себе пару в подземелье? - Стрела Ориона,124005819,94900,анимационный,«16+» для детей старше 16 лет
Ромео. Акбар. Вальтер,,93750,другой,«12+» для детей старше 12 лет
Вера,211013119,91620,художественный,«16+» для детей старше 16 лет
Хроники Ртути,126002219,90290,другой,«18+» запрещено для детей
Лил Бак: Настоящий лебедь,126007319,83285,другой,«16+» для детей старше 16 лет
22 ярда,121014419,83100,художественный,«12+» для детей старше 12 лет
Антон Чехов и Исаак Левитан: двойной портрет в интерьере эпохи,112004019,81000,документальный,«0+» для любой зрительской аудитории
Одиссея Петра,111012118,78718.5,художественный,«12+» для детей старше 12 лет
Весури,111007619,75850,художественный,«12+» для детей старше 12 лет
Созданный в Бездне - Рассвет путешествия,124006319,75300,анимационный,«16+» для детей старше 16 лет
Созданный в Бездне - Блуждающие сумерки,124006219,73700,анимационный,«18+» запрещено для детей
Ганнибал,,67510,другой,«16+» для детей старше 16 лет
Ледники Чёрного Июса,213000819,66200,научно-популярный,«0+» для любой зрительской аудитории
Into_нация большой Одессы,212011619,62156,документальный,«16+» для детей старше 16 лет
Балет сегодня,126007219,59829,другой,«16+» для детей старше 16 лет
Кровь,111014018,55685,художественный,«18+» запрещено для детей
Хочется тишины,212002019,53100,документальный,«12+» для детей старше 12 лет
Глазами детей,211050219,50543,художественный,«18+» запрещено для детей
Доживем до каникул?..,111021918,41225,художественный,«12+» для детей старше 12 лет
Диего Марадона,126003519,38330,другой,«16+» для детей старше 16 лет
Стреляйте в пианиста,121016119,35413,художественный,«16+» для детей старше 16 лет
Колесо времени,111003219,34992,художественный,«6+» для детей старше 6 лет
Земная сторона Луны,211019419,33410,художественный,«6+» для детей старше 6 лет
Я вам не негр,,33325,другой,«18+» запрещено для детей
Ведьма Гор,211013019,32000,художественный,«16+» для детей старше 16 лет
Дядя Саша,211018618,28358,художественный,«18+» запрещено для детей
Дети футбола,212009319,13200,документальный,«0+» для любой зрительской аудитории
Время собирать цветы,112025118,7175,документальный,«12+» для детей старше 12 лет
Счастье - это…Часть 2,111005319,4398.4,художественный,«6+» для детей старше 6 лет
